comment_copy,final_sentiment
hang problem,negative
i'm writing this review after using 3days be to honest this is normal android phoneit's not like onepluscamera quality very low it says 64mp but notsound also lowbattery backup ok for one day,negative
the camera is so good and very fast phone back look is awesomewith this price segment it's worth it and the most important thing is the phone has dedicated memory card slot i think this is the first one plus phone which has the dedicated slot for,positive
i got my delivery on 23 feb when i unboxed the phone the display was damaged i requested for replacement of my new phone so technician was suppose to come for inspection but instead of a visit he just talked on call and asked me to,negative
nord ce 2 is a decent choice for someone looking to upgrade from an under 15k segment phone review after using the 6gb variant for 5 days pros decent battery life and excellent charging speed smooth performance and display,positive
phone is over all good but some heating problem and selfie is not too good other wise phone is good,neutral
don't buy any phones from amazon i really had a bad exp dislike for 25k poor build quality same configuration in real me etc are coming less than 18k only just for 1,negative
the grey mirror finish is really cool and the phone is smooth in day to day usage charging speed is very fast but i couldn't test 0 to 100 as an estimate it'll take 30 45,positive
bad mobile,negative
very amazingly built decently featured smartphone battery lasts full day with proper usage charges really fastvery smooth accurate fingerprint scannercamera is decent as per price loved it,positive
bought this for my mother on the day of the launch lightweight and slim phone good look and specifications the refresh rate is amazing given the cost satisfied with the product so far,positive
best operating system after iphone so you and ur data is safe those who do all their banking transactions through mobile understand it's need plus 3 years security update that's really great thing 2 camera is good enough,positive
the major weak points that disappoint no stereo speakers no ram expansion struggles in low light condition should have ram expansion and camera quality should be improved with new update,negative
i got this mobile for 16999 which was an awesome deal for me i have rated this phone based on 5 rating points delivery 5 5 was superfast and exchange took place with ease and got offer,positive
the phone's display and camera are not upto the mark what i've expected from oneplus it's a lower segment feel after paying 25k if i know this thing i'm gonna go with realme or mi or iq in under,negative
this mobile refresh rate only on paper but when u will play pubg bgmi refresh rate will decrease and i think this mobile is only selling by advertisement niether processor is good nor refresh rate of display so please don't buy it by,negative
pros good battery fast charging build quality slim nfcsmooth oscons processor slow not for high end gaming low camera quality not value for money,neutral
over heating while charging too much heating when browsing through mobile network even while using camera for capturing pics also phone getting too much heat fast battery drain face unlock not working properly even sometimes phe getting hang while touching icons phe heating in,negative
the worst phone of my life,negative
writing the reviews after 3 days of usagedesign phone's design is good looking and decent the phone sits well in the hands but has to be used with a cover due to its glossy finish at the back the phone comes with a,neutral
the design looks awesome fast charger 4500mah triple slot 4500more 5g bands camera setup ossom,positive
the phone is beautiful,positive
pros fluid amoled type front screen 409ppi pixel density64mp main camera on the backside16mp front shooter6gb ram mediatek dimensity 900 mt6877 chipset65w super vooc,positive
,positive
as a tech geek these are my experiences with this phone 1 fingerprint scan is not smooth as compare to other low end phone also 2 due to omnivison camera picture quality is not good in low light okayish camera,negative
was looking for a phone in this price range to gift to my mom delivery person was very polite and courteous my mother loved the phone i kind of find the phone good value for money definitely recommend to go for it if you,positive
superb display cool design light weight fast charging go for it guys,positive
the most important impact on society and the world is the cell phone oneplus nord ce 2 5g one of them a little more than you'd expect 65w fast charging expanda storage love it capacity,positive
pros1 very beautiful phone handy2 slim and lightweight3 very smooth scrolling4 65w fast charger 10 to 100 within 30 to 35min5 good processor no,positive
bad product experience from the start the sim microsd card slot is very confusing to operate there s also no instruction or label on whether sim card slot is up or the microsd card this shows how much the product team focuses,negative
the usb audio in the oneplus phone is merged with otg so each time you connect your external dac fiio k9 pro earman tramp chord mojo you need to switch on the otg but the bug start from,negative
using since 2 days no hanging issue faced so far and works absolutely smooth i am not a gamer camera might not be best in this class but still good macro camera just average no bloatware almost pure android experience,positive
it's the worst phoneafter true usage came to know it's useless in 22k price tag lag in audio while shooting video it hangs often microphone quality is the worst face screen lock doesn't work,negative
all good but heating problem only,neutral
received this oneplus nord ce 2 5g 8gbram 128 gb within the next morning of ordering it two days usage update march 7 2022 pro'ssim card slot and memory card slot in,positive
each and everything about this phone is surprising what was truly more than expected was the charging i literall placed on charge at 9 00 18 battery and after my breakfast 9 17 it was 81,positive
on just 5th from delivery it s getting heated every time while getting any notifications but on 7th it s getting too hot and making noise while on charging then i remove charger but it shows a mark,negative
oxygen os ui is best and you will feel smooth experience with beautiful display and loud speaker and headphones jack output is crisp and loud camera need optimization specially in low light but the look and feel and light weight of this device will amaze u for,positive
the best from oneplus mid range product and best in class good camera good display smoothening,positive
the phone looks are really amazing that is performance too display is awesome camera is uptomark if you get deal around 16k go for it,positive
best looking phone ever for the price the quality they maintainedis good we can extend ram up to 3gb pros 1 looks attractive2 30w fast charging support3 video recording is amazing with best eis available in,positive
i made the switch from my samsung m51 to the nord ce 2 i did a lot of research before settling on this phone here's my experience so far 1 i am not a gamer and do not use phones for,neutral
not up to the mark,negative
superb smart phone coz in this phone you are getting something more than hardware specification and that is phone usage experience if you are going to be first time user to oneplus phones then you will definitely love it rating time looks,positive
i didn't upload pics cause i forgot to take them i am a one plus user since 2016 i bought a one plus 3t when it was launched that phone is still with me working fine i am,positive
this phone is not really stand in the line of oneplus series the hardware quality is been hardly severely compromise phone hangs a lot from the very first day while on call the sound quality is not so good phone is extremely slow picture,negative
the camera is not upto the mark but according to the price it was good design and lookwise it was awesome charging super fast but battery backup low,neutral
here are some important points that i noticed about the smartphone 1 best operating system after iphone so you and ur data is safe those who do all their banking transactions through mobile understand it's need plus 3 years security update,positive
so many options are either missing or not user friendly like back button or app switching option are very hard to use camera quality is good little bit mobile started hanging in 2 days even have not loaded with apps very good thing is,negative
totally satisfied with the phone and this is my first from one plus what else do you want in 25k a nuclear bomb,positive
looks beautiful in blue lady love it performance features slimmest and good battery pack with fast charge feels good one plus,positive
no good battery backup,negative
overall happy with the producti choose this as my secondary phone i looked at the market for following things1 fast charging archiviatoarchiviato dall'url originalitransition to 28 hour battery life 2 on screen finger print,positive
camera quality is too poor feels like taking pictures in some local brand of china mobile didn't expect from oneplus brand totally waste of money please don't buy mates this phone,negative
i brought this phone on 27 02 2022 since 3 days i'm facing auto display off and erratic multiple display showing and mobile unable to get restart first time on 03 05,negative
i posted this review after 7 days usage i was very skeptical to buy oneplus phone and was using redmi phones since 7 yrs but this time was upset on redmi os and bought oneplus i am very happy with this phone no,positive
it's my first experience with one plus and has been good till now i am not a gamer but for multimedia and casual photos the experience has been good in hand field is good and software experience is nice without any bloatware the,positive
i am writing this after one complete month of usgae of phone the phone is a good midranger one if you get it under 20 k using the exchange offer and card one too but not worth it if you get it for 2,neutral
this review is after 3 weeks of use of oneplus nord ce2 5g 8gb 128gb 1 pros display is good and gets quite bright in outdoors due to its claimed 800 nits,positive
i ordered this phone on 22 feb at sail day at amazon i received this phone this monday 28 feb till now i am using this phone and very fond of very smooth operation camera is also pretty good and finger,positive
review after 10 days it's a very good and practical phone if you are able to purchase it under 20k by applying coupons and exchange build i like metal build but ok with the plastic and glass builds as well,positive
this is one of the best phone in mid range but don't expect lot it just doing good performance i am a regular usage just few applications so 2 days battery life i am getting camera is okay try different methods,neutral
i'm a big fan of 1 phones and this is my fourth 1 during last 6 7 years reason price competitive for the same specs of other chinese competition makes that brings the brand no 2 in,positive
pros first phone from oneplus in this segment where dedicated memory card slot is available 65 supervoc fast charging is amazing rear camera is decent build quality is very good cons sometimes it feels like oppo reno 7 is being,positive
i purchased one plus nord ce 2 5g on 29th april from amazon and phone was delivered on 1st may phone screen freezed on 20th may and i dropped the phone at your authorised service centre in jam,negative
one of the worst service they gave the warranty for one year but it is not applicable for any damage it is worst warranty provided by the one plus brand after 25days of very normal usage display is gone my mobile having not,negative
1 camera quality is just average like 15 19k mobile phone doesn't seems like this is oneplus mobile phone camera i have upgraded from redmi note 10 and felt very little improvement in camera 2,neutral
