comment_copy,final_sentiment
worst camera experience weight is good charging is good oneplus is becoming bad pls improve urself oneplus be as a flagship phone not become worse,negative
good mobile,positive
No major issues so far.,neutral
oppo it's best,positive
bad quality camera and charging point is not type c also charging cable is so small,negative
my personal experience about this phone was very bad ordinary quantity finger print sensor phone getting slow and some time will get hang out pls buddies don't buy amazon don't play with valuable customers,negative
Installation was easy.,neutral
very good like very much good buy at this cost,positive
Feels okay to hold.,neutral
camera could be better,negative
good back design good battery life light weight display is good but it's so called 50 mp camera is not so good and it has not slim body overall i think it is fair phone at this price,positive
Average performance.,neutral
happy birthday,positive
Received the product on time.,neutral
finally nice product,positive
if you using this for video call it will heat up even i'm using this mobile in winter season only i don't know how much heat will appear in summer,negative
hang problem law charging,negative
nothing to say about this good product at all thanks to amazon redmi,neutral
good product nice,positive
excellent i love it one plus,positive
i'm very happy with this purchase as i didn't want to buy any chynese phones so choose samsung brand camera battery are just awesome as these 2 are the key specs for me to look in to any mobile phone,positive
"Nothing special, just a regular phone.",neutral
i have purchased 8gb and 128gb mobile for 12k with 4500 rs exchange on old mobile using it from past 7 days no issues found camera quality is good it will handle,positive
allover phone is good you can go for it if you're looking under 10000 but you have to sacrifice with the camara quality camara quality is not so much good as i expected from redmi,negative
Camera quality is acceptable.,neutral
processor speed slow not a good product in this range,negative
The display is fine.,neutral
the quality of the product is not good as its getting popular so they have compromise in quality of mi phones not satisfied with finger sensor as it got repair in a month and getting hang after a month use disappointed with quality of the product comparing,negative
fingerprint superb battery life poor camera average,negative
not bad option this one is good otion for long battery backup i happy to but it thank you so much,positive
Average performance.,neutral
lot of technical issues with this phone if u ignore this review u gonna waste ur money call drops wifi disconnect keeps restarting hangs frequently many more,negative
Packaging was decent.,neutral
its decent phone all is ok nothing great display looks a little faded,neutral
all good except the breadth of the phone its little bigger and weigh little more rest all good,positive
not good,negative
it is just okay type of phone camera and sound quality is not good any old 5k phone will give you better picture bettery life is good,neutral
phone started problems like unresponsive and automatically opening apps after software upgrade in jan 22,negative
battery charging and heat up issue,negative
missing charger adopter,negative
